restaurant,city,features
"P.J. COFFEE & TEA", "new_orleans", "Open_on_Mondays Open_on_Sundays Place_for_Singles Dining_Outdoors Focus_on_Dessert Fountain_and_Ice_Cream Coffee_Shops Excellent_Food Good_Service Good_Decor below_$15"
"LE RUTH'S (CLOSED)", "new_orleans", "Fabulous_Wine_Lists Good_Out_of_Town_Business Relaxed_Senior_Scene Romantic Very_Busy_-_Reservations_a_Must Private_Rooms_Available Need_To_Dress Haute_Creole Extraordinary_Food Extraordinary_Service Excellent_Decor $30-$50"
"FRANKY AND JOHNNY'S", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles No_Reservations Down-Home Excellent_Food Good_Service Fair_Decor below_$15"
"DiMartino's Muffalettas", "new_orleans", "Authentic Excellent_Food Excellent_Service Good_Decor below_$15"
"MARTIN WINE CELLAR", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties No_Reservations Deli Excellent_Food Good_Service Fair_Decor below_$15"
"ANDREA'S RESTAURANT", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Romantic Private_Rooms_Available Game Special_Brunch_Menu Italian Extraordinary_Food Extraordinary_Service Extraordinary_Decor $15-$30"
"MR. TAI'S", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties No_Reservations Chinese Extraordinary_Food Excellent_Service Extraordinary_Decor $15-$30"
"ARNAUD'S", "new_orleans", "Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Very_Busy_-_Reservations_a_Must Power_Brokers Great_for_People_Watching Private_Rooms_Available An_Historic_Spot Weekend_Jazz_Brunch Special_Brunch_Menu Haute_Creole Extraordinary_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"De Felice's (CLOSED)", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Private_Rooms_Available No_Reservations Fine_for_Dining_Alone Special_Brunch_Menu Continental Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"KATIE'S", "new_orleans", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene No_Reservations Credit_cards_are_not_accepted American Excellent_Food Excellent_Service Good_Decor below_$15"
"EMERIL'S", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Place_for_Singles Very_Busy_-_Reservations_a_Must Power_Brokers Great_for_People_Watching Private_Parties Up_and_Coming An_Historic_Spot Game Fine_for_Dining_Alone Creative Haute_New_Orleans Near-perfect_Food Extraordinary_Service Extraordinary_Decor $15-$30"
"Tula's Kitchen", "new_orleans", "Quirky Nicaraguan Excellent_Food Excellent_Service Good_Decor $15-$30"
"CLANCY'S", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Power_Brokers Private_Parties Continental Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"L'ECONOMIE", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles Private_Parties Up_and_Coming French_Bistro Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"BART'S LIGHTHOUSE INN", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles Dining_Outdoors No_Reservations Entertainment Dancing Seafood Good_Food Good_Service Excellent_Decor $15-$30"
"CARMINE'S", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties Up_and_Coming Traditional Italian Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"ANTOINE'S", "new_orleans", "Fabulous_Wine_Lists Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Romantic Very_Busy_-_Reservations_a_Must Power_Brokers Great_for_People_Watching Private_Rooms_Available No_Reservations Need_To_Dress An_Historic_Spot Haute_Creole Extraordinary_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"PALACE CAFE", "new_orleans", "Down-Home_Creole Good_Food Good_Service Good_Decor $15-$30"
"CHINESE KITCHEN", "new_orleans", "Good_for_Younger_Kids Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Authentic Chinese Excellent_Food Good_Service Fair_Decor below_$15"
"TAQUERIA CORONA", "new_orleans", "For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Quirky Up_and_Coming Credit_cards_are_not_accepted Mexican Extraordinary_Food Good_Service Fair_Decor below_$15"
"LA MADELEINE BAKERY", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays An_Historic_Spot Focus_on_Dessert Fountain_and_Ice_Cream Credit_cards_are_not_accepted Po'_Boys Other_Quick_Food Extraordinary_Food Good_Service Excellent_Decor below_$15"
"Kelsey's", "new_orleans", "Down-Home_Creole Good_Food Good_Service Good_Decor $15-$30"
"HENRI (CLOSED)", "new_orleans", "Fabulous_Wine_Lists Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Romantic Very_Busy_-_Reservations_a_Must Private_Parties Need_To_Dress Classic_Hotel_Dining Game Entertainment French_Classic Extraordinary_Food Extraordinary_Service Near-perfect_Decor $30-$50"
"BENNACHIN", "new_orleans", "Down-Home_Creole Good_Food Good_Service Good_Decor $15-$30"
"FLAGONS", "new_orleans", "Fabulous_Wine_Lists For_the_Young_and_Young_at_Heart Private_Rooms_Available Health_Conscious_Menus Game Weekend_Jazz_Brunch Special_Brunch_Menu Continental Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"DOMILESE", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles No_Reservations Credit_cards_are_not_accepted Po'_Boys Other_Quick_Food Extraordinary_Food Excellent_Service Fair_Decor below_$15"
"QUE SERA", "new_orleans", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles Dining_Outdoors No_Reservations Open_for_Breakfast American Good_Food Good_Service Excellent_Decor below_$15"
"Chez Pierre", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Very_Busy_-_Reservations_a_Must Haute_New_Orleans Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"CAFE PONTALBA", "new_orleans", "Open_on_Mondays Open_on_Sundays No_Reservations An_Historic_Spot Special_Brunch_Menu American Good_Food Good_Service Good_Decor below_$15"
"DELERNO'S RESTAURANT", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Private_Rooms_Available Up_and_Coming Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"CANNON'S", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties No_Reservations Special_Brunch_Menu Traditional American Excellent_Food Excellent_Service Good_Decor below_$15"
"HUMMINGBIRD GRILL", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Quirky No_Reservations Late_Night_Menu Open_for_Breakfast American Po'_Boys Other_Quick_Food Good_Food Good_Service Poor_Decor below_$15"
"RISTORANTE CARMELO'S", "new_orleans", "Open_on_Mondays Open_on_Sundays Place_for_Singles Private_Rooms_Available Up_and_Coming Italian Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"FURY'S", "new_orleans", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Down-Home Excellent_Food Excellent_Service Good_Decor below_$15"
"LA LOUISIANE", "new_orleans", "Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays An_Historic_Spot Haute_New_Orleans Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"Albertine's (CLOSED)", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Dining_Outdoors Classic_Hotel_Dining An_Historic_Spot Game Fine_for_Dining_Alone Special_Brunch_Menu Continental Good_Food Good_Service Excellent_Decor $15-$30"
"BROUSSARD'S", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Very_Busy_-_Reservations_a_Must Private_Rooms_Available Dining_Outdoors Need_To_Dress Haute_Creole Extraordinary_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"Little Cajun Cuisine (CLOSED)", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties Cajun Excellent_Food Excellent_Service Good_Decor $15-$30"
"EL PATIO", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Private_Parties No_Reservations Entertainment Dancing Mexican Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"DOS GRINGOS", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Credit_cards_are_not_accepted Margaritas Mexican Good_Food Good_Service Good_Decor below_$15"
"CHEF BUSTER'S", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Down-Home_Creole Extraordinary_Food Extraordinary_Service Excellent_Decor $15-$30"
"Mystery Street Cafe (CLOSED)", "new_orleans", "Open_on_Mondays Open_on_Sundays Romantic Very_Busy_-_Reservations_a_Must Dining_Outdoors Up_and_Coming Special_Brunch_Menu French_Bistro Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"ICHIBAN", "new_orleans", "Open_on_Mondays Open_on_Sundays Japanese Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Assunta's", "new_orleans", "Italian Extraordinary_Food Excellent_Service Extraordinary_Decor $15-$30"
"Regency Room (CLOSED)", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Power_Brokers Private_Parties No_Reservations Classic_Hotel_Dining Fine_for_Dining_Alone Open_for_Breakfast Continental Excellent_Food Excellent_Service Good_Decor $15-$30"
"Lido Gardens", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties No_Reservations Italian Excellent_Food Excellent_Service Fair_Decor $15-$30"
"CHINA DOLL", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties Chinese Excellent_Food Excellent_Service Excellent_Decor below_$15"
"Doug's", "new_orleans", "American Good_Food Good_Service Good_Decor $15-$30"
"SANTA FE", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Health_Conscious_Menus Game Entertainment Southwestern Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"H.R.H. DUMPLIN'S", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Up_and_Coming American Excellent_Food Excellent_Service Excellent_Decor below_$15"
"SHIGURE", "new_orleans", "Takeout_Available Open_on_Mondays Open_on_Sundays Quirky No_Reservations Japanese Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"EDDIE'S", "new_orleans", "Open_on_Mondays Open_on_Sundays Quirky Traditional Down-Home_Creole Soul_Food Excellent_Food Good_Service Fair_Decor below_$15"
"NATCHEZ HOUSE RESTAURANT", "new_orleans", "Takeout_Available Open_on_Mondays Open_on_Sundays Credit_cards_are_not_accepted Down-Home Excellent_Food Good_Service Fair_Decor below_$15"
"BEGUE'S", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Very_Busy_-_Reservations_a_Must Need_To_Dress Classic_Hotel_Dining Health_Conscious_Menus Game Entertainment Fine_for_Dining_Alone Open_for_Breakfast Haute_Creole Excellent_Food Extraordinary_Service Extraordinary_Decor $15-$30"
"Brass Lantern Restaurant", "new_orleans", "Open_on_Mondays Open_on_Sundays Health_Conscious_Menus Special_Brunch_Menu Cajun Extraordinary_Food Extraordinary_Service Extraordinary_Decor $15-$30"
"JOHNNY'S PO-BOYS", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays No_Reservations An_Historic_Spot Special_Brunch_Menu Credit_cards_are_not_accepted Po'_Boys Other_Quick_Food Excellent_Food Good_Service Fair_Decor below_$15"
"ALL NATURAL FOODS DELI", "new_orleans", "For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Dining_Outdoors No_Reservations Health_Conscious_Menus Open_for_Breakfast Deli Health_Food Excellent_Food Good_Service Fair_Decor below_$15"
"PATOUT'S", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Private_Rooms_Available Dining_Outdoors Classic_Hotel_Dining Game Fine_for_Dining_Alone Special_Brunch_Menu Cajun Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Drago's", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Quirky No_Reservations Yugoslavian Excellent_Food Excellent_Service Good_Decor $15-$30"
"LA PENICHE", "new_orleans", "Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Late_Night_Menu Game Open_for_Breakfast Down-Home Good_Food Excellent_Service Good_Decor below_$15"
"COFFEE AND COMPANY", "new_orleans", "Credit_cards_are_not_accepted Coffee_Shops Good_Food Good_Service Good_Decor $15-$30"
"MIMI'S", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Private_Parties No_Reservations Credit_cards_are_not_accepted Italian Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"CAFE MASPERO", "new_orleans", "For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Place_for_Singles Special_Brunch_Menu Credit_cards_are_not_accepted Po'_Boys Other_Quick_Food Excellent_Food Good_Service Good_Decor below_$15"
"AUGIE'S GLASS GARDEN", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Rooms_Available No_Reservations Dancing Weekend_Jazz_Brunch Special_Brunch_Menu Traditional American Good_Food Excellent_Service Excellent_Decor $15-$30"
"BARRECA'S", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles Relaxed_Senior_Scene Private_Rooms_Available Up_and_Coming Game Down-Home_Creole Excellent_Food Excellent_Service Good_Decor $15-$30"
"Bounty (CLOSED)", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Place_for_Singles Private_Rooms_Available No_Reservations Entertainment Fine_for_Dining_Alone Dancing Seafood Good_Food Good_Service Good_Decor $15-$30"
"Kim Son", "new_orleans", "Open_on_Mondays Open_on_Sundays Vietnamese Extraordinary_Food Excellent_Service Good_Decor below_$15"
"FIGARO'S PIZZERIA", "new_orleans", "Pizza Good_Food Good_Service Good_Decor $15-$30"
"Vita's Broadway Cafe (CLOSED)", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Private_Parties Up_and_Coming Special_Brunch_Menu American Good_Food Excellent_Service Excellent_Decor $15-$30"
"BACCO", "new_orleans", "Italian Good_Food Good_Service Good_Decor $15-$30"
"GUMBO SHOP", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Private_Rooms_Available Dining_Outdoors No_Reservations An_Historic_Spot Down-Home_Creole Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"TRUE BREW", "new_orleans", "Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles Dining_Outdoors No_Reservations Focus_on_Dessert Fountain_and_Ice_Cream Open_for_Breakfast Credit_cards_are_not_accepted Coffee_Shops Excellent_Food Good_Service Good_Decor below_$15"
"Imperial Palace Regency (CLOSED)", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Private_Rooms_Available Chinese Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"CASAMENTO'S", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Quirky No_Reservations An_Historic_Spot Credit_cards_are_not_accepted Seafood Extraordinary_Food Excellent_Service Excellent_Decor below_$15"
"BAYONA", "new_orleans", "Good_Out_of_Town_Business For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles Romantic Very_Busy_-_Reservations_a_Must Great_for_People_Watching Private_Rooms_Available Dining_Outdoors Up_and_Coming Hip_Place_To_Be Creative Haute_New_Orleans Extraordinary_Food Extraordinary_Service Extraordinary_Decor $15-$30"
"RUTH'S CHRIS STEAKHOUSE", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Very_Busy_-_Reservations_a_Must Power_Brokers Great_for_People_Watching Hip_Place_To_Be Steakhouses Near-perfect_Food Extraordinary_Service Excellent_Decor $30-$50"
"China Blossom", "new_orleans", "Open_on_Mondays Open_on_Sundays Creative Chinese Extraordinary_Food Extraordinary_Service Excellent_Decor $15-$30"
"LE JARDIN", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Romantic Private_Parties No_Reservations Classic_Hotel_Dining Health_Conscious_Menus Fine_for_Dining_Alone Weekend_Jazz_Brunch Special_Brunch_Menu Open_for_Breakfast Continental Extraordinary_Food Excellent_Service Near-perfect_Decor $15-$30"
"DONG PHUONG", "new_orleans", "Open_on_Mondays Open_on_Sundays Credit_cards_are_not_accepted Vietnamese Good_Food Good_Service Good_Decor $15-$30"
"ANDY MESSINA'S", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Rooms_Available No_Reservations Late_Night_Menu American Excellent_Food Excellent_Service Good_Decor $15-$30"
"SAZERAC", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Romantic Power_Brokers Great_for_People_Watching Private_Rooms_Available Classic_Hotel_Dining Health_Conscious_Menus Entertainment Continental Extraordinary_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"KUNG'S CHINESE RESTAURANT", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties No_Reservations Chinese Extraordinary_Food Extraordinary_Service Excellent_Decor $15-$30"
"TJ RIBS", "new_orleans", "American Bar-B-Q Good_Food Good_Service Good_Decor $15-$30"
"Cafe Florida (CLOSED)", "new_orleans", "Open_on_Mondays Open_on_Sundays Up_and_Coming No_Reservations Special_Brunch_Menu Cuban Good_Food Good_Service Good_Decor below_$15"
"Deanie's", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays No_Reservations Seafood Excellent_Food Good_Service Fair_Decor below_$15"
"CAMELLIA GRILL", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Great_for_People_Watching Late_Night_Menu An_Historic_Spot Fine_for_Dining_Alone Open_for_Breakfast Credit_cards_are_not_accepted Po'_Boys Other_Quick_Food Extraordinary_Food Extraordinary_Service Excellent_Decor below_$15"
"LAKEVIEW SEAFOOD", "new_orleans", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Seafood Excellent_Food Excellent_Service Fair_Decor below_$15"
"HARD ROCK CAFE", "new_orleans", "Cab For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Hip_Place_To_Be American Good_Food Good_Service Excellent_Decor below_$15"
"Cafe Brazil (CLOSED)", "new_orleans", "Open_on_Mondays Open_on_Sundays Entertainment Focus_on_Dessert Fountain_and_Ice_Cream Coffee_Shops Good_Food Good_Service Good_Decor below_$15"
"Bozo's", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Private_Rooms_Available No_Reservations Fine_for_Dining_Alone Oyster_Bars Seafood Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"Maestro's (CLOSED)", "new_orleans", "Wheelchair_Access Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties Up_and_Coming Italian Good_Food Good_Service Good_Decor $15-$30"
"JADE EAST", "new_orleans", "Wheelchair_Access Open_on_Mondays Open_on_Sundays Chinese Excellent_Food Excellent_Service Good_Decor below_$15"
"LA PROVENCE", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Romantic Very_Busy_-_Reservations_a_Must Private_Rooms_Available Dining_Outdoors Need_To_Dress French_Classic Near-perfect_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"LANDRY'S", "new_orleans", "Open_on_Mondays Open_on_Sundays Credit_cards_are_not_accepted Down-Home Excellent_Food Excellent_Service Good_Decor below_$15"
"G & E COURTYARD GRILL", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Place_for_Singles Romantic Private_Parties Dining_Outdoors Up_and_Coming Italian Good_Food Good_Service Good_Decor $15-$30"
"BON TON CAFE", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Very_Busy_-_Reservations_a_Must No_Reservations An_Historic_Spot Down-Home_Creole Extraordinary_Food Extraordinary_Service Excellent_Decor $15-$30"
"ASIA GARDEN", "new_orleans", "Open_on_Mondays Open_on_Sundays No_Reservations Chinese Good_Food Good_Service Good_Decor below_$15"
"PARASOL'S", "new_orleans", "For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Rooms_Available Quirky No_Reservations Hip_Place_To_Be Credit_cards_are_not_accepted Po'_Boys Other_Quick_Food Excellent_Food Good_Service Fair_Decor below_$15"
"Crozier's", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Relaxed_Senior_Scene Very_Busy_-_Reservations_a_Must Need_To_Dress French_Bistro Extraordinary_Food Extraordinary_Service Excellent_Decor $15-$30"
