restaurant,features
142, 147 148 113 134 66 88 0
143, 204 147 148 164 173 139 7 198 187 65 66 88 0
144, 80 204 147 148 178 139 119 44 113 65 91 72 229
145, 80 204 147 148 164 172 139 77 187 65 66 64 0
146, 92 225 80 204 147 148 172 139 113 162 65 91 72 229
147, 92 80 204 147 148 172 139 44 165 149 89 91 72 229
148, 206 89 91 88 0
149, 92 225 80 204 147 148 164 172 139 119 198 27 65 66 64 0
150, 225 80 147 148 54 139 103 198 49 65 91 88 229
151, 225 90 147 148 172 62 198 42 68 66 67 0
152, 225 90 147 148 179 170 214 42 65 66 64 0
153, 225 80 204 147 148 164 139 129 89 66 88 229
154, 225 80 204 147 148 172 139 209 56 89 66 88 229
155, 90 147 148 164 217 170 94 62 77 223 198 102 68 69 67 0
156, 92 80 204 147 148 164 139 44 162 65 91 72 229
157, 147 148 173 7 27 89 91 64 0
158, 80 204 147 148 54 139 119 7 77 6 150 65 66 67 0
159, 225 204 147 148 172 214 146 165 149 65 91 88 229
160, 92 225 147 148 173 139 7 86 62 87 89 66 64 0
161, 92 225 80 204 147 148 164 173 139 77 150 187 89 91 88 0
162, 102 89 91 88 0
163, 65 91 88 229
164, 92 80 204 147 148 164 173 139 7 103 77 27 65 66 64 0
165, 225 80 204 147 148 164 170 139 77 44 209 165 149 89 91 72 229
166, 225 204 147 148 164 217 94 173 172 106 113 89 91 88 0
167, 92 80 147 148 44 98 65 91 72 229
168, 92 80 204 172 139 48 6 89 91 64 0
169, 80 147 148 84 162 68 66 64 229
170, 204 147 148 199 68 66 64 0
171, 36 89 91 88 0
172, 147 148 44 49 65 91 72 229
173, 65 91 72 229
174, 71 225 90 147 148 181 217 170 94 173 54 7 146 101 68 69 67 1
175, 225 80 204 147 148 164 173 214 62 48 27 73 91 88 229
176, 225 147 148 217 173 86 43 102 68 69 64 0
177, 225 204 147 148 178 78 81 44 39 68 66 88 229
178, 44 39 89 91 88 0
179, 225 204 139 199 65 66 72 0
180, 196 65 66 88 0
181, 80 204 147 148 164 172 54 139 86 198 84 65 66 64 0
182, 225 80 204 147 148 164 172 139 56 89 91 72 0
183, 217 178 139 44 113 68 66 72 0
184, 44 65 91 72 229
185, 80 204 147 148 164 172 178 214 119 48 211 89 91 88 0
186, 225 80 204 147 148 164 172 214 37 43 6 42 65 91 64 229
187, 92 80 204 147 148 146 209 165 149 65 91 72 229
188, 225 80 204 147 148 54 139 78 81 44 39 68 91 64 229
189, 89 91 88 0
190, 225 204 147 148 139 103 44 104 65 91 72 229
191, 80 204 147 148 164 54 139 86 198 55 65 66 88 229
192, 147 148 56 65 91 72 229
193, 225 80 204 147 148 173 139 77 150 187 89 91 72 229
194, 225 80 204 147 148 179 139 77 198 113 65 66 64 0
195, 225 204 147 148 164 172 178 214 62 197 65 66 64 0
196, 56 89 91 88 0
197, 147 148 62 48 27 65 66 64 229
198, 225 90 147 148 170 94 139 136 106 7 44 101 134 69 67 0
199, 101 89 91 88 0
200, 225 80 204 147 148 139 119 37 103 146 6 89 91 64 0
201, 95 89 91 88 0
202, 101 102 89 91 88 0
203, 225 204 147 148 214 113 68 69 67 0
204, 225 80 204 147 148 164 178 139 119 98 65 91 88 229
205, 147 148 214 109 65 91 88 0
206, 147 148 44 165 149 65 91 72 229
207, 225 147 148 172 139 103 62 84 65 66 64 0
208, 225 139 129 65 66 72 0
209, 80 204 164 178 139 165 149 68 66 88 229
210, 225 147 148 173 172 54 139 187 65 66 88 0
211, 225 147 148 113 65 66 67 0
212, 225 204 147 148 139 55 65 66 88 229
213, 204 147 148 54 198 46 65 66 64 229
214, 225 204 147 148 172 139 44 165 149 65 91 72 229
215, 101 102 89 91 88 0
216, 80 204 147 148 139 95 65 91 72 229
217, 92 225 204 147 148 214 6 89 91 88 229
218, 225 147 148 170 94 173 54 139 7 86 198 6 65 66 67 0
219, 225 80 204 147 148 139 113 65 91 88 0
220, 147 148 173 43 102 68 66 64 0
221, 225 204 147 148 139 7 77 209 150 65 91 72 229
222, 204 147 148 178 7 44 165 149 68 91 88 229
223, 225 147 148 179 172 77 113 65 66 88 0
224, 147 148 181 54 214 7 89 91 64 0
225, 225 90 80 147 148 179 217 173 139 86 113 68 69 64 0
226, 147 148 178 62 48 165 149 89 66 88 229
227, 147 148 37 103 62 77 223 198 146 42 68 66 67 0
228, 134 69 67 0
229, 187 68 66 88 229
230, 225 147 148 164 172 54 139 7 86 113 89 91 88 0
231, 42 89 91 88 0
232, 225 147 148 139 36 65 66 64 229
233, 92 80 204 147 148 54 139 119 77 44 165 149 65 91 72 229
234, 204 172 139 119 113 162 65 91 72 229
235, 225 204 147 148 139 198 44 191 89 91 88 0
236, 92 225 80 147 148 139 44 113 65 66 72 229
237, 225 204 147 148 178 214 114 89 91 88 0
238, 80 204 147 148 178 187 65 66 88 229
239, 225 204 147 148 139 36 65 66 88 229
240, 225 147 148 181 54 139 7 86 198 101 65 66 67 0
241, 80 204 147 148 164 179 86 198 42 65 66 64 0
242, 147 148 179 173 42 65 66 64 0
243, 80 204 147 148 179 173 139 86 77 209 56 65 66 64 0
244, 147 148 164 214 119 106 7 113 65 66 67 0
245, 204 147 148 139 119 146 55 89 91 88 229
246, 225 80 147 148 164 181 172 178 214 119 113 89 91 88 0
247, 92 225 80 204 147 148 139 36 65 66 88 0
248, 147 148 178 214 218 89 91 88 0
249, 225 147 148 139 119 77 150 65 91 88 229
250, 225 80 204 147 148 139 77 150 89 91 72 229
251, 80 204 147 148 139 44 56 89 66 72 229
252, 225 147 148 139 13 46 65 91 72 229
253, 65 91 72 229
254, 204 147 148 179 178 139 44 187 65 66 88 229
255, 147 148 54 178 7 62 198 42 68 66 67 0
256, 92 225 80 204 147 148 172 15 65 91 88 229
257, 80 147 148 178 214 139 44 113 68 66 88 0
258, 225 204 147 148 139 103 104 65 91 72 229
259, 109 89 91 88 0
260, 147 148 172 139 113 65 66 64 0
261, 92 80 147 148 165 149 65 91 72 229
262, 204 147 148 164 165 149 65 91 88 229
263, 80 204 147 148 164 173 139 119 62 48 98 162 65 91 88 229
264, 147 148 147 148 214 139 49 65 91 88 229
265, 147 148 115 65 66 64 0
266, 225 80 204 147 148 139 119 7 78 81 146 44 39 68 66 64 229
267, 225 80 204 147 148 164 139 7 103 77 6 65 66 64 0
268, 225 80 147 148 164 173 54 214 84 68 66 64 0
269, 6 89 91 88 0
270, 225 204 147 148 62 48 36 68 66 64 229
271, 225 80 147 148 179 173 139 7 56 65 66 64 0
272, 225 80 181 172 214 84 89 91 88 0
273, 225 147 148 94 54 119 86 198 42 65 66 64 0
274, 225 90 139 77 27 68 91 72 0
275, 147 148 146 113 65 91 88 229
276, 90 147 148 179 181 217 136 77 84 134 69 67 1
277, 92 80 147 148 179 173 139 77 55 65 66 72 229
278, 147 148 164 214 46 65 91 72 229
279, 225 147 148 7 198 42 65 66 67 0
280, 147 148 164 173 139 187 65 66 64 0
281, 204 147 148 139 13 129 89 91 72 229
282, 204 147 148 164 139 129 65 91 88 229
283, 225 204 147 148 78 81 146 44 39 68 66 88 229
284, 113 89 91 88 0
285, 80 204 147 148 173 139 119 56 191 65 66 88 0
286, 80 204 147 148 164 54 214 44 39 68 66 64 229
287, 225 80 204 147 148 173 214 113 89 91 88 0
288, 225 204 147 148 172 113 65 66 88 0
289, 6 89 91 88 0
290, 147 148 173 178 139 187 68 66 88 0
291, 90 147 148 179 217 7 101 68 69 67 0
292, 225 80 147 148 164 179 217 170 94 172 214 106 7 86 102 68 69 64 0
293, 225 204 147 148 164 172 139 199 65 66 88 0
294, 225 204 147 148 172 139 115 65 66 64 0
295, 225 90 147 148 179 217 170 173 136 37 86 62 77 42 68 69 67 1
296, 225 147 148 172 139 37 62 77 223 198 84 68 66 67 0
297, 68 66 88 0
298, 147 148 54 214 7 198 56 65 66 64 229
299, 225 204 147 148 164 139 129 89 91 88 229
300, 124 68 69 64 0
301, 147 148 164 173 178 139 7 6 65 91 67 229
302, 80 147 148 173 139 86 43 36 68 69 67 0
303, 225 147 148 179 173 139 37 86 48 223 198 146 42 65 66 67 0
304, 225 204 147 148 170 139 37 146 6 39 65 66 64 0
305, 92 225 80 204 147 148 106 78 81 134 66 88 229
306, 147 148 78 81 44 39 68 66 64 229
307, 147 148 172 139 198 56 65 66 64 0
308, 204 147 148 172 6 65 66 88 0
309, 80 204 147 148 164 178 98 162 68 91 88 229
310, 27 89 91 88 0
311, 217 214 62 95 68 66 88 0
312, 89 91 88 229
313, 189 204 147 148 139 206 68 66 88 0
314, 80 204 147 148 164 139 119 77 6 65 66 88 229
315, 225 80 204 172 139 6 65 66 88 229
316, 225 80 204 147 148 119 106 209 56 191 68 66 64 0
317, 80 204 147 148 164 44 165 149 68 91 88 229
318, 225 80 204 147 148 172 214 119 56 89 91 88 0
319, 147 148 178 184 89 91 88 0
320, 225 204 147 148 164 173 198 187 65 66 88 0
321, 44 6 68 66 88 0
322, 225 147 148 179 172 139 86 56 68 66 64 0
323, 225 90 147 148 173 106 86 43 27 68 69 67 0
324, 225 80 204 147 148 164 217 94 172 214 119 106 102 89 91 88 0
325, 225 90 147 148 181 217 173 54 136 37 86 62 77 84 68 69 67 1
326, 225 80 204 147 148 164 172 214 84 89 91 88 0
327, 113 65 66 88 1
328, 109 65 66 88 0
329, 92 80 222 177 172 173 54 103 50 204 198 6 6 65 66 64 0
330, 105 177 174 37 86 198 42 84 65 69 67 1
331, 174 84 65 66 88 1
332, 172 173 54 36 65 66 64 0
333, 92 179 7 37 48 62 40 128 6 42 68 66 88 1
334, 90 179 77 115 134 66 64 1
335, 177 174 171 5 119 37 143 146 39 84 84 65 66 88 0
336, 92 222 103 50 204 146 6 39 59 65 91 88 0
337, 65 91 88 0
338, 77 6 42 84 89 66 64 0
339, 175 174 7 50 204 6 68 66 64 1
340, 209 109 89 91 88 0
341, 225 179 174 197 68 69 67 1
342, 89 91 88 0
343, 92 80 5 119 162 65 91 168 229
344, 71 90 179 177 174 170 172 173 86 84 134 69 67 230
345, 113 68 66 64 1
346, 225 54 113 65 91 64 1
347, 71 113 65 66 64 1
348, 48 62 197 65 66 88 0
349, 89 91 88 0
350, 222 113 187 65 66 64 1
351, 158 116 89 91 72 1
352, 124 225 179 177 214 199 89 91 88 0
353, 189 222 178 194 192 65 66 67 1
354, 158 6 129 129 194 192 196 89 91 88 0
355, 174 187 68 69 67 230
356, 65 66 64 0
357, 222 54 5 119 198 113 65 66 88 1
358, 225 77 6 112 199 89 66 88 0
359, 5 119 197 65 66 88 0
360, 48 62 76 65 66 64 0
361, 77 36 65 91 72 229
362, 123 6 68 69 64 0
363, 65 66 64 1
364, 158 174 146 39 52 59 89 91 88 229
365, 225 179 177 214 106 77 50 204 40 6 59 89 91 88 0
366, 6 15 194 192 89 91 168 229
367, 225 59 65 66 64 1
368, 84 89 91 88 0
369, 5 119 43 59 65 66 64 0
370, 113 65 66 64 1
371, 71 179 86 128 113 68 69 67 230
372, 90 179 181 177 174 170 94 172 173 106 86 84 134 135 133 230
373, 90 222 179 177 174 106 84 68 69 67 230
374, 89 91 72 0
375, 164 174 172 173 214 5 119 48 62 31 89 91 88 0
376, 23 105 54 84 65 66 64 1
377, 222 179 214 6 27 45 194 192 65 66 64 0
378, 174 37 113 68 66 64 1
379, 222 171 113 68 66 64 1
380, 36 89 91 72 229
381, 209 84 65 66 64 1
382, 80 54 5 119 113 187 65 91 88 0
383, 179 214 115 89 91 88 0
384, 68 66 64 1
385, 129 129 89 91 88 0
386, 222 164 175 7 5 119 48 62 209 6 89 66 64 0
387, 177 174 178 84 89 91 88 0
388, 43 218 89 91 88 0
389, 43 115 68 66 64 0
390, 158 172 173 126 129 129 89 91 88 0
391, 174 171 172 173 42 65 66 64 1
392, 214 113 65 66 64 0
393, 71 225 172 173 143 6 6 68 69 67 1
394, 179 174 209 113 68 69 88 1
395, 23 222 5 119 48 62 209 43 187 6 197 216 65 66 64 1
396, 225 164 175 6 27 45 194 192 65 66 64 1
397, 206 89 66 88 0
398, 113 89 91 88 0
399, 43 65 66 64 1
400, 222 174 84 65 66 64 1
401, 225 113 65 66 64 1
402, 177 174 220 50 204 6 199 65 66 64 1
403, 198 43 6 65 66 88 1
404, 129 129 65 66 88 0
405, 36 68 91 168 229
406, 225 179 177 174 171 50 204 36 68 69 67 1
407, 214 48 62 43 129 129 65 66 64 0
408, 105 174 178 50 204 47 108 183 65 66 88 0
409, 113 187 65 66 88 0
410, 179 174 113 68 69 64 1
411, 225 90 177 174 86 84 134 135 67 230
412, 220 36 65 91 88 0
413, 174 172 173 214 50 204 48 62 121 130 89 91 88 0
414, 113 65 66 88 0
415, 77 115 65 66 88 0
416, 162 68 91 72 0
417, 214 5 119 6 39 89 91 88 0
418, 92 80 158 5 119 6 15 89 91 72 0
419, 65 66 88 1
420, 37 187 65 66 64 1
421, 177 209 113 68 69 64 1
422, 23 71 164 94 172 173 54 5 119 106 113 65 91 64 1
423, 214 43 28 129 129 65 66 88 0
424, 5 119 220 113 65 66 64 0
425, 158 113 89 91 88 0
426, 174 43 84 65 66 88 1
427, 198 6 84 65 66 64 0
428, 225 175 172 173 7 178 113 199 65 66 88 1
429, 222 181 174 54 84 68 66 64 1
430, 146 39 212 65 91 72 229
431, 222 7 50 204 209 199 65 66 88 1
432, 90 179 177 174 170 172 173 86 48 62 198 6 68 69 133 1
433, 222 174 5 119 113 68 66 67 1
434, 177 172 173 50 204 113 65 66 64 1
435, 179 177 172 173 77 43 36 51 110 115 117 125 206 65 66 64 0
436, 222 172 173 43 43 113 68 66 64 1
437, 214 113 65 66 88 0
438, 220 209 113 68 69 88 1
439, 113 65 66 88 0
440, 123 36 68 66 64 1
441, 209 84 65 66 88 1
442, 177 174 113 65 66 88 1
443, 54 113 68 66 67 1
444, 164 178 5 119 6 39 52 89 91 88 0
445, 222 179 177 175 7 37 6 65 69 67 1
446, 164 174 171 94 172 173 37 198 6 84 65 91 67 1
447, 80 36 129 129 65 91 88 0
448, 198 6 59 65 66 88 0
449, 37 6 65 66 64 1
450, 222 130 65 91 72 0
451, 174 36 65 66 64 1
452, 113 65 66 88 1
453, 172 173 54 113 89 91 64 0
454, 71 179 86 113 68 69 67 230
455, 181 177 172 173 6 65 69 67 1
456, 48 62 126 129 129 89 91 88 0
457, 48 62 89 66 133 1
458, 71 90 222 181 174 172 173 54 106 143 48 62 198 6 68 69 133 230
459, 197 65 66 88 0
460, 71 90 179 170 94 172 173 106 37 86 84 134 69 67 230
461, 164 220 42 112 89 66 88 0
462, 23 92 225 90 80 222 158 164 94 172 173 5 119 6 96 89 91 67 0
463, 209 84 65 66 64 1
464, 209 113 65 66 88 1
465, 5 119 115 65 91 88 0
466, 20 110 206 65 91 88 0
467, 113 89 91 64 0
468, 222 181 174 172 173 220 198 6 65 66 64 1
469, 222 113 116 65 66 64 1
470, 222 174 127 65 66 64 0
471, 113 65 66 64 1
472, 5 119 6 84 89 91 88 0
473, 222 50 204 43 115 68 66 64 0
474, 222 174 171 54 50 204 113 127 197 65 66 88 1
475, 214 113 65 66 64 1
476, 6 28 65 66 88 0
477, 172 173 220 13 43 197 65 91 64 1
478, 222 179 181 174 172 173 84 68 66 64 1
479, 65 66 88 0
480, 222 220 115 65 66 72 0
481, 6 59 68 66 67 230
482, 50 204 209 49 116 89 91 72 0
483, 92 225 80 222 158 164 174 94 172 173 143 50 204 48 62 128 6 59 89 91 88 0
484, 90 105 222 179 181 174 171 94 172 173 7 143 50 204 34 183 65 66 67 1
485, 80 222 94 50 204 113 65 66 88 0
486, 209 109 65 66 64 0
487, 113 65 66 64 1
488, 225 90 179 177 174 172 173 84 187 134 69 133 230
489, 220 13 206 89 91 88 0
490, 113 187 65 66 64 0
491, 123 13 117 65 91 72 0
492, 54 113 89 91 88 1
493, 222 174 84 65 66 64 1
494, 179 50 204 13 115 68 69 64 1
495, 214 40 156 89 91 88 0
496, 174 209 84 65 66 88 1
497, 214 6 113 89 91 88 0
498, 50 204 206 68 66 72 0
499, 222 174 6 89 91 88 0
500, 222 214 113 89 91 88 0
501, 179 177 214 127 89 91 88 0
502, 214 5 119 48 62 6 59 89 91 88 0
503, 209 113 65 66 88 1
504, 105 113 65 66 64 1
505, 178 214 220 127 131 65 66 88 0
506, 54 40 113 65 66 88 0
507, 54 209 6 113 89 66 64 0
508, 222 174 171 172 173 5 119 143 77 50 204 113 68 66 67 1
509, 164 175 5 119 6 15 196 89 91 88 0
510, 71 225 90 179 170 7 50 204 187 68 91 88 1
511, 113 159 89 91 72 0
512, 164 94 172 173 5 119 143 48 62 43 6 18 65 91 64 1
513, 222 174 214 199 89 91 88 0
514, 164 214 48 62 6 89 91 88 0
515, 179 177 174 172 173 178 5 119 109 89 91 88 0
516, 54 113 65 66 88 0
517, 71 222 175 54 106 96 99 199 68 66 64 1
518, 164 54 113 89 91 88 0
519, 225 222 174 54 84 65 66 64 1
520, 5 119 48 62 61 89 91 88 0
521, 92 80 129 129 65 91 72 0
522, 80 222 77 50 204 40 198 146 6 39 153 156 65 66 64 0
523, 5 119 113 65 66 64 1
524, 90 95 68 69 67 1
525, 222 50 204 3 65 66 64 0
526, 103 6 215 65 91 88 0
527, 90 6 89 91 88 0
528, 84 65 91 88 1
529, 90 222 179 174 50 204 109 68 66 64 1
530, 54 40 209 113 156 89 91 88 0
531, 207 65 91 72 0
532, 222 5 119 50 204 197 65 91 88 0
533, 206 65 66 88 0
534, 7 50 204 146 116 65 91 72 0
535, 123 13 117 68 91 88 0
536, 123 174 7 220 42 68 66 67 1
537, 209 209 206 65 91 88 0
538, 92 103 6 6 65 66 64 1
539, 113 68 66 64 1
540, 6 89 66 88 0
541, 13 65 66 88 0
542, 178 116 65 91 72 1
543, 71 90 222 179 174 172 173 86 84 68 69 64 230
544, 113 65 66 88 0
545, 36 51 65 91 88 0
546, 214 28 59 84 68 66 64 1
547, 174 37 209 6 127 89 66 88 0
548, 178 18 6 65 91 72 0
549, 80 130 65 91 72 229
550, 92 80 178 50 204 65 91 72 229
551, 23 5 119 209 113 65 66 88 1
552, 23 5 119 113 65 66 88 0
553, 42 84 65 66 88 0
554, 92 80 198 146 209 6 6 39 65 91 72 229
555, 92 36 51 65 91 88 0
556, 5 119 48 62 121 130 65 91 72 0
557, 37 6 96 65 66 64 1
558, 5 119 187 197 199 65 66 88 0
559, 23 92 172 173 115 89 91 88 0
560, 222 220 63 65 66 88 0
561, 214 113 89 91 88 0
562, 222 181 174 86 6 84 127 68 69 67 1
563, 158 175 5 119 220 48 62 61 99 89 91 67 0
564, 225 174 36 51 65 66 88 0
565, 225 179 172 173 54 106 86 6 59 89 91 88 0
566, 13 65 91 72 0
567, 36 68 66 67 1
568, 158 6 89 91 88 0
569, 92 225 158 5 119 6 52 89 91 88 0
570, 164 172 173 5 119 43 126 129 129 65 91 64 0
571, 174 37 103 146 128 84 68 69 67 1
572, 54 5 119 48 62 59 65 66 64 0
573, 71 225 177 175 174 172 173 113 68 69 67 230
574, 214 115 89 91 88 0
575, 5 119 127 89 91 64 1
576, 43 197 65 91 72 0
577, 164 172 173 5 119 50 204 48 62 194 192 65 66 88 0
578, 37 77 146 6 89 91 88 0
579, 174 113 127 65 91 88 0
580, 225 164 113 65 91 88 0
581, 146 39 183 89 91 88 0
582, 113 65 66 88 0
583, 209 6 99 89 91 88 0
584, 174 37 48 62 36 65 66 64 1
585, 23 179 174 220 77 50 204 115 68 66 64 1
586, 43 113 65 66 64 1
587, 92 80 222 158 172 173 54 5 119 77 48 62 40 198 146 6 52 89 91 88 0
588, 189 174 214 84 89 91 88 0
589, 225 179 214 6 187 68 66 64 1
590, 50 204 129 129 65 66 88 0
591, 126 129 129 65 66 64 1
592, 171 214 5 119 209 6 28 65 91 88 1
593, 179 113 89 66 88 0
594, 222 181 6 6 59 65 66 64 1
595, 80 164 103 28 196 68 66 64 1
596, 172 173 5 119 48 62 183 89 91 88 1
597, 54 84 65 66 64 1
598, 54 214 50 204 40 146 156 65 91 64 229
599, 65 66 88 1
600, 103 48 62 209 43 36 65 66 88 0
601, 5 119 13 31 89 91 88 0
602, 222 158 5 119 77 6 89 91 88 0
603, 179 181 174 59 68 69 67 1
604, 177 115 68 66 64 1
605, 222 174 171 198 6 84 65 66 64 1
606, 225 90 174 171 172 173 54 6 187 68 69 67 1
607, 5 119 115 89 91 88 0
608, 80 5 119 6 83 65 74 168 229
609, 92 36 65 91 72 0
610, 222 103 6 59 215 89 91 88 0
611, 174 13 185 68 66 67 1
612, 174 220 84 65 66 64 1
613, 6 89 91 88 0
614, 113 65 66 64 1
615, 222 174 54 5 119 198 6 65 66 64 1
